Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=9691297
,EXR.A.ARS.EUR.SP00.A,EXR.A.ARS.EUR.SP00.E,EXR.A.DZD.EUR.SP00.A,EXR.A.DZD.EUR.SP00.E,EXR.A.EGP.EUR.SP00.E,EXR.A.MAD.EUR.SP00.A,EXR.A.MAD.EUR.SP00.E,EXR.A.TWD.EUR.SP00.A,EXR.A.TWD.EUR.SP00.E,EXR.H.ARS.EUR.SP00.A,EXR.H.DZD.EUR.SP00.A,EXR.H.MAD.EUR.SP00.A,EXR.H.TWD.EUR.SP00.A,EXR.M.ARS.EUR.SP00.A,EXR.M.ARS.EUR.SP00.E,EXR.M.DZD.EUR.SP00.A,EXR.M.DZD.EUR.SP00.E,EXR.M.EGP.EUR.SP00.E,EXR.M.MAD.EUR.SP00.A,EXR.M.MAD.EUR.SP00.E,EXR.M.TWD.EUR.SP00.A,EXR.M.TWD.EUR.SP00.E,EXR.Q.ARS.EUR.SP00.A,EXR.Q.ARS.EUR.SP00.E,EXR.Q.DZD.EUR.SP00.A,EXR.Q.DZD.EUR.SP00.E,EXR.Q.EGP.EUR.SP00.E,EXR.Q.MAD.EUR.SP00.A,EXR.Q.MAD.EUR.SP00.E,EXR.Q.TWD.EUR.SP00.A,EXR.Q.TWD.EUR.SP00.E
,"Annual, Argentine peso, Average","Annual, Argentine peso, End-of-period","Annual, Algerian dinar, Average","Annual, Algerian dinar, End-of-period","Annual, Egyptian pound, End-of-period","Annual, Moroccan dirham, Average","Annual, Moroccan dirham, End-of-period","Annual, New Taiwan dollar, Average","Annual, New Taiwan dollar, End-of-period","Half-yearly, Argentine peso, Average","Half-yearly, Algerian dinar, Average","Half-yearly, Moroccan dirham, Average","Half-yearly, New Taiwan dollar, Average","Monthly, Argentine peso, Average","Monthly, Argentine peso, End-of-period","Monthly, Algerian dinar, Average","Monthly, Algerian dinar, End-of-period","Monthly, Egyptian pound, End-of-period","Monthly, Moroccan dirham, Average","Monthly, Moroccan dirham, End-of-period","Monthly, New Taiwan dollar, Average","Monthly, New Taiwan dollar, End-of-period","Quarterly, Argentine peso, Average","Quarterly, Argentine peso, End-of-period","Quarterly, Algerian dinar, Average","Quarterly, Algerian dinar, End-of-period","Quarterly, Egyptian pound, End-of-period","Quarterly, Moroccan dirham, Average","Quarterly, Moroccan dirham, End-of-period","Quarterly, New Taiwan dollar, Average","Quarterly, New Taiwan dollar, End-of-period"
Collection:,Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E)
Period\Unit:,[Argentine peso ],[Argentine peso ],[Algerian dinar ],[Algerian dinar ],[Egyptian pound ],[Moroccan dirham ],[Moroccan dirham ],[New Taiwan dollar ],[New Taiwan dollar ],[Argentine peso ],[Algerian dinar ],[Moroccan dirham ],[New Taiwan dollar ],[Argentine peso ],[Argentine peso ],[Algerian dinar ],[Algerian dinar ],[Egyptian pound ],[Moroccan dirham ],[Moroccan dirham ],[New Taiwan dollar ],[New Taiwan dollar ],[Argentine peso ],[Argentine peso ],[Algerian dinar ],[Algerian dinar ],[Egyptian pound ],[Moroccan dirham ],[Moroccan dirham ],[New Taiwan dollar ],[New Taiwan dollar ]
2020-10-31,,,,,,,,,,,,,,91.16783,91.59530,151.8206,151.4382,18.36590,10.8361,10.7485,33.791,33.424,,,,,,,,,
2020-09-30,,,,,,,,,,,,,,88.50173,89.11540,151.7853,151.2966,18.48110,10.8692,10.8300,34.448,33.927,85.51935,89.11540,150.1723,151.2966,18.48110,10.9062,10.8300,34.301,33.927
2020-08-31,,,,,,,,,,,,,,86.52664,88.30530,151.7891,152.8165,18.94880,10.9170,10.9081,34.767,35.070,,,,,,,,,
2020-07-31,,,,,,,,,,,,,,81.74694,85.54730,147.1532,152.0596,18.92130,10.9317,11.0025,33.735,34.751,,,,,,,,,
2020-06-30,,,,,,,,,,71.06793,137.0097,10.7591,33.065,78.10729,78.78520,144.8766,144.7892,18.10580,10.8918,10.8803,33.378,32.973,74.47111,78.78520,141.3041,144.7892,18.10580,10.8743,10.8803,32.918,32.973
2020-05-31,,,,,,,,,,,,,,73.71618,76.16750,140.2187,142.9473,17.63940,10.7421,10.8887,32.652,33.395,,,,,,,,,
2020-04-30,,,,,,,,,,,,,,71.22625,72.52120,138.4598,139.3923,17.12970,10.9871,10.7660,32.677,32.350,,,,,,,,,
2020-03-31,,,,,,,,,,,,,,69.82061,70.54790,134.2236,136.6432,17.25570,10.7144,11.1094,33.350,33.196,67.77109,70.54790,132.8496,136.6432,17.25570,10.6475,11.1094,33.208,33.196
2020-02-29,,,,,,,,,,,,,,66.84938,68.26310,131.3986,131.8996,17.15980,10.5559,10.5661,32.903,33.148,,,,,,,,,
2020-01-31,,,,,,,,,,,,,,66.55949,66.63800,132.7945,132.4118,17.46220,10.6638,10.6209,33.343,33.502,,,,,,,,,
2019-12-31,53.82004,67.26920,133.6953,133.6913,18.04740,10.7654,10.7465,34.607,33.605,60.56454,132.9417,10.6887,34.225,66.52403,67.26920,132.9178,133.6913,18.04740,10.6911,10.7465,33.645,33.605,65.61119,67.26920,132.6772,133.6913,18.04740,10.6767,10.7465,33.754,33.605
2019-11-30,,,,,,,,,,,,,,65.99649,65.64490,132.5991,132.1135,17.70300,10.6661,10.6344,33.679,33.520,,,,,,,,,
2019-10-31,,,,,,,,,,,,,,64.46563,66.51130,132.5393,133.3405,17.97750,10.6740,10.7319,33.918,33.942,,,,,,,,,
2019-09-30,,,,,,,,,,,,,,62.30643,62.42120,132.3006,131.3649,17.71780,10.6644,10.6290,34.218,33.809,55.67081,62.42120,133.1981,131.3649,17.71780,10.7002,10.6290,34.681,33.809
2019-08-31,,,,,,,,,,,,,,57.78339,63.87640,133.3089,132.6417,18.26460,10.6704,10.6283,34.931,34.580,,,,,,,,,
2019-07-31,,,,,,,,,,,,,,47.59147,48.94290,133.9116,133.5109,18.42700,10.7615,10.7165,34.865,34.658,,,,,,,,,
2019-06-30,,,,,,,,,,46.80576,134.4790,10.8453,35.005,49.50667,48.59260,134.5832,135.1455,18.99890,10.8475,10.8912,35.332,35.287,49.41873,48.59260,134.1553,135.1455,18.99890,10.8320,10.8912,34.991,35.287
2019-05-31,,,,,,,,,,,,,,50.15508,49.68330,133.7558,133.4425,18.71140,10.8223,10.8407,34.967,35.271,,,,,,,,,
2019-04-30,,,,,,,,,,,,,,48.52079,49.74340,134.1668,134.0479,19.23890,10.8273,10.8208,34.677,34.664,,,,,,,,,
2019-03-31,,,,,,,,,,,,,,46.47971,48.64760,134.5312,134.0184,19.47030,10.8639,10.8540,34.878,34.653,44.23426,48.64760,134.7977,134.0184,19.47030,10.8583,10.8540,35.018,34.653
2019-02-28,,,,,,,,,,,,,,43.52365,44.38540,134.6961,135.1883,20.01220,10.8258,10.8867,34.963,35.157,,,,,,,,,
2019-01-31,,,,,,,,,,,,,,42.73688,42.61470,135.1443,135.5973,20.29930,10.8824,10.9275,35.201,35.274,,,,,,,,,
2018-12-31,32.91149,43.12990,137.6462,135.5664,20.51270,11.0798,10.9532,35.593,35.061,39.62428,136.3078,10.9180,35.437,43.10546,43.12990,134.9808,135.5664,20.51270,10.8503,10.9532,35.062,35.061,42.39444,43.12990,135.3798,135.5664,20.51270,10.8488,10.9532,35.201,35.061
2018-11-30,,,,,,,,,,,,,,41.34812,42.86770,134.7682,134.6218,20.34400,10.8053,10.7992,35.032,35.016,,,,,,,,,
2018-10-31,,,,,,,,,,,,,,42.80789,41.50880,136.2944,134.6802,20.27050,10.8893,10.8121,35.478,35.033,,,,,,,,,
2018-09-30,,,,,,,,,,,,,,44.79312,46.12520,137.5770,136.8949,20.74420,10.9588,10.9389,35.837,35.293,36.89673,46.12520,137.2216,136.8949,20.74420,10.9860,10.9389,35.670,35.293
