Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=9691297
,EXR.A.ARS.EUR.SP00.A,EXR.A.ARS.EUR.SP00.E,EXR.A.DZD.EUR.SP00.A,EXR.A.DZD.EUR.SP00.E,EXR.A.EGP.EUR.SP00.E,EXR.A.MAD.EUR.SP00.A,EXR.A.MAD.EUR.SP00.E,EXR.A.TWD.EUR.SP00.A,EXR.A.TWD.EUR.SP00.E,EXR.H.ARS.EUR.SP00.A,EXR.H.DZD.EUR.SP00.A,EXR.H.MAD.EUR.SP00.A,EXR.H.TWD.EUR.SP00.A,EXR.M.ARS.EUR.SP00.A,EXR.M.ARS.EUR.SP00.E,EXR.M.DZD.EUR.SP00.A,EXR.M.DZD.EUR.SP00.E,EXR.M.EGP.EUR.SP00.E,EXR.M.MAD.EUR.SP00.A,EXR.M.MAD.EUR.SP00.E,EXR.M.TWD.EUR.SP00.A,EXR.M.TWD.EUR.SP00.E,EXR.Q.ARS.EUR.SP00.A,EXR.Q.ARS.EUR.SP00.E,EXR.Q.DZD.EUR.SP00.A,EXR.Q.DZD.EUR.SP00.E,EXR.Q.EGP.EUR.SP00.E,EXR.Q.MAD.EUR.SP00.A,EXR.Q.MAD.EUR.SP00.E,EXR.Q.TWD.EUR.SP00.A,EXR.Q.TWD.EUR.SP00.E
2018-08-31,,,,,,,,,,,,,,34.39972,45.13010,136.6594,137.3094,20.77370,10.9418,10.9694,35.479,35.785,,,,,,,,,
2018-07-31,,,,,,,,,,,,,,32.32871,31.95710,137.4862,137.9811,20.97220,11.0571,11.0614,35.718,35.951,,,,,,,,,
2018-06-30,,,,,,,,,,26.03887,139.0165,11.2456,35.753,30.91690,32.71230,136.5961,136.9803,20.85620,11.0899,11.0734,35.135,35.464,27.88236,32.71230,137.8896,136.9803,20.85620,11.1731,11.0734,35.494,35.464
2018-05-31,,,,,,,,,,,,,,27.76654,29.14980,137.0315,136.2173,20.94120,11.1338,11.0969,35.302,35.069,,,,,,,,,
2018-04-30,,,,,,,,,,,,,,24.82349,24.80000,140.1917,138.7813,21.29530,11.3038,11.2257,36.083,35.761,,,,,,,,,
2018-03-31,,,,,,,,,,,,,,24.96691,24.80460,140.6138,140.6620,21.74660,11.3253,11.3331,36.043,35.930,24.19539,24.80460,140.1434,140.6620,21.74660,11.3180,11.3331,36.011,35.930
2018-02-28,,,,,,,,,,,,,,24.49827,24.66620,140.5923,139.6883,21.51950,11.3472,11.3015,36.114,35.821,,,,,,,,,
2018-01-31,,,,,,,,,,,,,,23.18357,24.45430,139.2864,141.2756,21.96790,11.2845,11.3830,35.888,36.288,,,,,,,,,
2017-12-31,18.74169,22.70270,125.3013,137.6386,21.32360,10.9484,11.2236,34.363,35.564,20.45084,132.0757,11.1201,35.502,20.83339,22.70270,136.2905,137.6386,21.32360,11.1635,11.2236,35.473,35.564,20.61649,22.70270,135.0396,137.6386,21.32360,11.1228,11.2236,35.458,35.564
2017-11-30,,,,,,,,,,,,,,20.55338,20.65280,134.9290,136.3137,20.95200,11.1058,11.1685,35.317,35.565,,,,,,,,,
2017-10-31,,,,,,,,,,,,,,20.49226,20.53180,134.0700,134.0812,20.56810,11.1047,11.0602,35.586,35.107,,,,,,,,,
2017-09-30,,,,,,,,,,,,,,20.54084,20.69300,133.0654,133.5443,20.82580,11.1572,11.1200,35.910,35.828,20.29029,20.69300,129.2030,133.5443,20.82580,11.1174,11.1200,35.545,35.828
2017-08-31,,,,,,,,,,,,,,20.57974,20.56960,129.4328,131.6381,20.85930,11.1447,11.1266,35.704,35.670,,,,,,,,,
2017-07-31,,,,,,,,,,,,,,19.72272,20.87260,125.0891,127.0310,21.01190,11.0476,11.1244,35.006,35.437,,,,,,,,,
2017-06-30,,,,,,,,,,17.01908,118.4734,10.7753,33.215,18.07827,18.81840,121.6521,123.0372,20.67850,10.9467,11.0160,34.002,34.663,17.35586,18.81840,120.0575,123.0372,20.67850,10.8604,11.0160,33.351,34.663
2017-05-31,,,,,,,,,,,,,,17.36146,18.11630,120.3299,121.5813,20.36050,10.8747,10.9400,33.339,33.795,,,,,,,,,
2017-04-30,,,,,,,,,,,,,,16.46606,16.83770,117.7758,119.1479,19.72870,10.7375,10.8279,32.570,33.011,,,,,,,,,
2017-03-31,,,,,,,,,,,,,,16.59908,16.48710,117.3256,117.4460,19.50040,10.7131,10.7148,32.746,32.490,16.69785,16.48710,116.9625,117.4460,19.50040,10.6942,10.7148,33.085,32.490
2017-02-28,,,,,,,,,,,,,,16.61155,16.39890,116.8685,116.5538,16.81210,10.6910,10.6665,32.859,32.458,,,,,,,,,
2017-01-31,,,,,,,,,,,,,,16.87955,17.11390,116.6682,117.5430,20.33230,10.6773,10.7595,33.644,33.593,,,,,,,,,
2016-12-31,16.34014,16.79180,121.0805,116.2567,19.11080,10.8529,10.6586,35.686,34.177,16.67990,120.8774,10.8211,34.852,16.73753,16.79180,116.7965,116.2567,19.11080,10.6535,10.6586,33.748,34.177,16.68185,16.79180,119.1687,116.2567,19.11080,10.7456,10.6586,34.284,34.177
2016-11-30,,,,,,,,,,,,,,16.56821,16.73950,119.3220,117.7986,19.14300,10.7480,10.6820,34.280,33.879,,,,,,,,,
2016-10-31,,,,,,,,,,,,,,16.74523,16.61990,121.3805,120.2322,9.72000,10.8352,10.8060,34.824,34.568,,,,,,,,,
2016-09-30,,,,,,,,,,,,,,16.91692,17.13770,122.5097,122.4901,9.91090,10.9052,10.9010,35.296,34.983,16.67800,17.13770,122.5343,122.4901,9.91090,10.8944,10.9010,35.402,34.983
2016-08-31,,,,,,,,,,,,,,16.63291,16.70250,122.7108,122.0179,9.78690,10.9108,10.8760,35.378,35.345,,,,,,,,,
2016-07-31,,,,,,,,,,,,,,16.47708,16.70510,122.3667,122.6316,9.86780,10.8651,10.8865,35.540,35.468,,,,,,,,,
2016-06-30,,,,,,,,,,15.99237,121.2884,10.8854,36.540,15.84035,16.61410,123.6177,122.6035,9.85300,10.9152,10.8792,36.310,35.739,16.05361,16.61410,123.6533,122.6035,9.85300,10.9364,10.8792,36.595,35.739
2016-05-31,,,,,,,,,,,,,,15.99153,15.56540,124.0840,123.1237,9.90470,10.9419,10.8855,36.814,36.354,,,,,,,,,
2016-04-30,,,,,,,,,,,,,,16.34207,16.33480,123.2395,124.3725,10.12580,10.9528,10.9780,36.662,36.806,,,,,,,,,
2016-03-31,,,,,,,,,,,,,,16.65170,16.66590,121.4979,123.4725,10.10980,10.8624,10.9715,36.228,36.590,15.92816,16.66590,118.8091,123.4725,10.10980,10.8320,10.9715,36.482,36.590
2016-02-29,,,,,,,,,,,,,,16.30441,16.95810,118.1900,118.3155,8.52540,10.8601,10.7824,36.886,36.243,,,,,,,,,
2016-01-31,,,,,,,,,,,,,,14.77337,15.17330,116.6358,116.9423,8.55040,10.7704,10.7870,36.325,36.498,,,,,,,,,
2015-12-31,10.25281,14.09530,111.3701,116.5988,8.52460,10.8234,10.7845,35.247,35.790,10.64711,115.7322,10.8257,35.663,12.07488,14.09530,116.6401,116.5988,8.52460,10.7757,10.7845,35.713,35.790,11.01756,14.09530,117.0899,116.5988,8.52460,10.7988,10.7845,35.745,35.790
2015-11-30,,,,,,,,,,,,,,10.31426,10.26720,115.6178,114.6984,8.28340,10.7131,10.6547,35.039,34.570,,,,,,,,,
2015-10-31,,,,,,,,,,,,,,10.63159,10.48200,118.9451,117.6830,8.84670,10.9038,10.8194,36.451,35.723,,,,,,,,,
2015-09-30,,,,,,,,,,,,,,10.50711,10.55770,118.8380,118.7229,8.77200,10.8967,10.8904,36.655,36.834,10.28227,10.55770,114.3951,118.7229,8.77200,10.8521,10.8904,35.582,36.834
2015-08-31,,,,,,,,,,,,,,10.29932,10.42900,115.2090,118.7784,8.78140,10.8597,10.8875,35.868,36.452,,,,,,,,,
2015-07-31,,,,,,,,,,,,,,10.05163,10.08890,109.4023,108.9964,8.58720,10.8027,10.7935,34.296,34.757,,,,,,,,,
2015-06-30,,,,,,,,,,9.83959,106.7987,10.8211,34.812,10.14472,10.16790,110.4420,110.5738,8.53730,10.8879,10.8720,34.651,34.564,9.90311,10.16790,108.6616,110.5738,8.53730,10.8250,10.8720,34.080,34.564
2015-05-31,,,,,,,,,,,,,,9.98175,9.87000,109.6777,108.9500,8.37016,10.8592,10.7621,34.119,33.479,,,,,,,,,
2015-04-30,,,,,,,,,,,,,,9.55870,9.98550,105.6869,108.8462,8.55430,10.7216,10.8795,33.412,34.265,,,,,,,,,
2015-03-31,,,,,,,,,,,,,,9.50941,9.48320,104.5776,105.0811,8.20650,10.7237,10.7155,34.079,33.619,9.77708,9.48320,104.9653,105.0811,8.20650,10.8173,10.7155,35.532,33.619
2015-02-28,,,,,,,,,,,,,,9.84933,9.80270,106.6679,106.5120,8.57620,10.8363,10.8023,35.807,35.355,,,,,,,,,
2015-01-31,,,,,,,,,,,,,,9.98869,9.75730,103.7500,104.9262,8.58060,10.8971,10.8318,36.791,35.833,,,,,,,,,
2014-12-31,10.76704,10.28000,106.9068,106.7437,8.68088,11.1763,10.9919,40.252,38.440,10.81089,106.2940,11.1140,39.160,10.53566,10.28000,107.1269,106.7437,8.68088,11.0200,10.9919,38.671,38.440,10.63363,10.28000,106.2306,106.7437,8.68088,11.0480,10.9919,38.514,38.440
2014-11-30,,,,,,,,,,,,,,10.61567,10.63650,105.7956,107.3499,8.92540,11.0403,11.0356,38.328,38.655,,,,,,,,,
2014-10-31,,,,,,,,,,,,,,10.73870,10.65170,105.7905,104.9422,8.95470,11.0802,11.0362,38.532,38.134,,,,,,,,,
2014-09-30,,,,,,,,,,,,,,10.85432,10.67160,104.8050,104.8307,8.99690,11.1239,11.0743,38.856,38.301,10.98277,10.67160,106.3555,104.8307,8.99690,11.1779,11.0743,39.787,38.301
2014-08-31,,,,,,,,,,,,,,11.05677,11.07990,106.5634,105.8673,9.42950,11.1880,11.1719,39.926,39.400,,,,,,,,,
2014-07-31,,,,,,,,,,,,,,11.03808,10.95140,107.6487,106.8998,9.56610,11.2204,11.1978,40.551,40.191,,,,,,,,,
2014-06-30,,,,,,,,,,10.72143,107.5442,11.2411,41.387,11.04056,11.10640,107.8005,108.2032,9.76550,11.2271,11.2395,40.768,40.793,11.04223,11.10640,108.2666,108.2032,9.76550,11.2426,11.2395,41.281,40.793
2014-05-31,,,,,,,,,,,,,,11.03520,10.98660,108.3499,107.7250,9.72950,11.2446,11.2315,41.372,40.820,,,,,,,,,
2014-04-30,,,,,,,,,,,,,,11.05137,11.08110,108.6686,108.8369,9.70550,11.2566,11.2635,41.723,41.824,,,,,,,,,
2014-03-31,,,,,,,,,,,,,,10.95167,11.03480,107.4463,108.1223,9.60670,11.2528,11.2446,42.037,42.011,10.40573,11.03480,106.8332,108.1223,9.60670,11.2397,11.2446,41.492,42.011
2014-02-28,,,,,,,,,,,,,,10.73245,10.89220,106.5403,107.0419,9.61470,11.2342,11.2615,41.403,41.870,,,,,,,,,
2014-01-31,,,,,,,,,,,,,,9.58758,10.82020,106.5143,105.6845,9.40940,11.2322,11.2203,41.053,41.002,,,,,,,,,
2013-12-31,7.27433,8.99000,105.7058,107.9370,9.58270,11.1727,11.2590,39.427,41.123,7.79865,107.9017,11.1985,39.867,8.65198,8.99000,107.9544,107.9370,9.58270,11.2461,11.2590,40.735,41.123,8.22609,8.99000,109.1935,107.9370,9.58270,11.2291,11.2590,40.208,41.123
2013-11-30,,,,,,,,,,,,,,8.10576,8.33330,108.4193,108.6012,9.36940,11.2101,11.2064,39.845,40.302,,,,,,,,,
2013-10-31,,,,,,,,,,,,,,7.96561,8.06180,110.9778,110.9795,9.39630,11.2316,11.2365,40.082,40.114,,,,,,,,,
2013-09-30,,,,,,,,,,,,,,7.64986,7.82280,109.1244,110.2008,9.30700,11.1899,11.2174,39.573,39.943,7.38417,7.82280,106.6490,110.2008,9.30700,11.1689,11.2174,39.537,39.943
2013-08-31,,,,,,,,,,,,,,7.41966,7.49230,107.0606,107.8543,9.24550,11.1779,11.1755,39.874,39.597,,,,,,,,,
2013-07-31,,,,,,,,,,,,,,7.10764,7.29860,103.9951,105.5187,9.29240,11.1410,11.1682,39.182,39.847,,,,,,,,,
2013-06-30,,,,,,,,,,6.72904,103.4220,11.1458,38.970,7.02489,7.03150,104.3019,104.8362,9.18130,11.1571,11.1510,39.507,39.379,6.83982,7.03150,103.2854,104.8362,9.18130,11.1354,11.1510,39.007,39.379
2013-05-31,,,,,,,,,,,,,,6.79643,6.86720,102.8350,103.0465,9.08310,11.1195,11.1410,38.690,38.997,,,,,,,,,
2013-04-30,,,,,,,,,,,,,,6.70901,6.77230,102.7893,102.9851,9.06450,11.1314,11.1247,38.864,38.639,,,,,,,,,
2013-03-31,,,,,,,,,,,,,,6.58960,6.55720,102.4980,101.4481,8.71130,11.1182,11.0822,38.552,38.259,6.61647,6.55720,103.5608,101.4481,8.71130,11.1564,11.0822,38.931,38.259
2013-02-28,,,,,,,,,,,,,,6.68904,6.61960,104.2659,102.9042,8.84940,11.1765,11.1338,39.598,38.903,,,,,,,,,
2013-01-31,,,,,,,,,,,,,,6.57494,6.74520,103.8859,104.9235,9.09910,11.1729,11.2260,38.669,40.066,,,,,,,,,
2012-12-31,5.83818,6.48810,99.7197,103.8310,8.39780,11.1035,11.1441,37.997,38.326,5.98512,101.8415,11.0837,37.541,6.40054,6.48810,103.0718,103.8310,8.39780,11.1451,11.1441,38.123,38.326,6.21689,6.48810,102.7980,103.8310,8.39780,11.1233,11.1441,37.797,38.326
2012-11-30,,,,,,,,,,,,,,6.15075,6.27350,102.2292,102.7452,7.93570,11.1030,11.1119,37.359,37.760,,,,,,,,,
2012-10-31,,,,,,,,,,,,,,6.12843,6.19120,103.1159,102.9992,7.94200,11.1245,11.1284,37.948,37.930,,,,,,,,,
2012-09-30,,,,,,,,,,,,,,6.00017,6.06550,102.3981,103.5462,7.88310,11.1071,11.1305,37.950,37.881,5.75692,6.06550,100.8997,103.5462,7.88310,11.0448,11.1305,37.289,37.881
2012-08-31,,,,,,,,,,,,,,5.70963,5.83700,100.8238,101.4393,7.69620,11.0247,11.0513,37.147,37.699,,,,,,,,,
2012-07-31,,,,,,,,,,,,,,5.58523,5.61950,99.6168,100.7249,7.46220,11.0092,11.0065,36.836,36.729,,,,,,,,,
2012-06-30,,,,,,,,,,5.68892,97.5645,11.1236,38.461,5.60254,5.59880,97.5070,99.7243,7.62770,11.0485,11.0482,37.489,37.526,5.68775,5.59880,96.8433,99.7243,7.62770,11.0984,11.0482,37.965,37.526
2012-05-31,,,,,,,,,,,,,,5.68571,5.54290,95.7537,95.0879,7.49270,11.0963,11.0160,37.724,36.987,,,,,,,,,
2012-04-30,,,,,,,,,,,,,,5.78429,5.83330,97.3714,97.9085,7.99020,11.1559,11.1470,38.771,38.542,,,,,,,,,
2012-03-31,,,,,,,,,,,,,,5.75016,5.83660,98.0881,98.7176,8.06700,11.1619,11.1688,38.992,39.421,5.69004,5.83660,98.2525,98.7176,8.06700,11.1477,11.1688,38.933,39.421
2012-02-29,,,,,,,,,,,,,,5.74842,5.85610,98.6522,99.8096,8.10710,11.1635,11.2130,39.080,39.531,,,,,,,,,
2012-01-31,,,,,,,,,,,,,,5.57419,5.71340,98.0353,99.0092,7.94380,11.1183,11.1730,38.735,39.001,,,,,,,,,
2011-12-31,5.74405,5.56700,101.6303,98.3526,7.80320,11.2654,11.1355,40.906,39.196,5.80795,101.7137,11.2523,40.999,5.65022,5.56700,98.5999,98.3526,7.80320,11.1543,11.1355,39.878,39.196,5.73452,5.56700,100.2330,98.3526,7.80320,11.2018,11.1355,40.787,39.196
2011-11-30,,,,,,,,,,,,,,5.77200,5.73950,100.6275,99.6839,8.05720,11.2117,11.2070,40.984,40.705,,,,,,,,,
2011-10-31,,,,,,,,,,,,,,5.77956,5.93120,101.4527,102.4389,8.35650,11.2390,11.2930,41.488,41.881,,,,,,,,,
2011-09-30,,,,,,,,,,,,,,5.78537,5.67730,101.7093,100.7459,8.05490,11.2553,11.2210,40.911,41.129,5.87916,5.67730,103.1495,100.7459,8.05490,11.3013,11.2210,41.205,41.129
2011-08-31,,,,,,,,,,,,,,5.97294,6.06110,104.0063,103.9967,8.60240,11.3305,11.3375,41.562,41.919,,,,,,,,,
2011-07-31,,,,,,,,,,,,,,5.87470,5.90080,103.7199,103.0428,8.49610,11.3174,11.2976,41.121,41.191,,,,,,,,,
2011-06-30,,,,,,,,,,5.67864,101.5449,11.2788,40.811,5.88891,5.93150,103.5543,104.5557,8.62560,11.3327,11.3234,41.513,41.625,5.87112,5.93150,103.4411,104.5557,8.62560,11.3326,11.3234,41.539,41.625
2011-05-31,,,,,,,,,,,,,,5.85639,5.87480,103.2599,103.3295,8.54610,11.3315,11.3146,41.263,41.295,,,,,,,,,
2011-04-30,,,,,,,,,,,,,,5.86759,6.05770,103.5199,105.5729,8.83720,11.3337,11.4080,41.887,42.565,,,,,,,,,
2011-03-31,,,,,,,,,,,,,,5.64797,5.75280,100.9667,102.0418,8.46600,11.2747,11.3105,41.314,41.785,5.48916,5.75280,99.6783,102.0418,8.46600,11.2258,11.3105,40.095,41.785
2011-02-28,,,,,,,,,,,,,,5.48665,5.57340,99.5378,100.3034,8.14960,11.2220,11.2615,39.973,41.155,,,,,,,,,
2011-01-31,,,,,,,,,,,,,,5.31762,5.48000,98.4010,99.8010,8.02009,11.1758,11.2249,38.876,39.750,,,,,,,,,
2010-12-31,5.18563,5.31000,97.9025,99.5736,7.75664,11.1603,11.1909,41.782,38.950,5.23727,98.4767,11.1637,41.242,5.25652,5.31000,98.5319,99.5736,7.75664,11.1558,11.1909,39.490,38.950,5.38745,5.31000,100.5895,99.5736,7.75664,11.2091,11.1909,41.227,38.950
2010-11-30,,,,,,,,,,,,,,5.41821,5.17000,100.9828,97.0766,7.52565,11.2222,11.1047,41.429,39.620,,,,,,,,,
2010-10-31,,,,,,,,,,,,,,5.49863,5.48180,102.4310,102.1508,8.00210,11.2536,11.2443,42.920,42.435,,,,,,,,,
2010-09-30,,,,,,,,,,,,,,5.16312,5.40940,97.8784,101.1167,7.76980,11.1388,11.2138,41.507,42.750,5.08708,5.40940,96.3639,101.1167,7.76980,11.1183,11.2138,41.256,42.750
2010-08-31,,,,,,,,,,,,,,5.07544,5.00730,96.2684,95.4109,7.23520,11.1150,11.0875,41.188,40.695,,,,,,,,,
2010-07-31,,,,,,,,,,,,,,5.02268,5.12650,94.9450,96.1967,7.42730,11.1010,11.1225,41.073,41.750,,,,,,,,,
2010-06-30,,,,,,,,,,5.13154,97.3010,11.1567,42.347,4.78975,4.82250,91.3527,91.5358,6.98930,11.0046,11.0230,39.417,39.585,4.95437,4.82250,94.1619,91.5358,6.98930,11.0753,11.0230,40.531,39.585
2010-05-31,,,,,,,,,,,,,,4.89840,4.80530,93.4494,91.5585,6.96790,11.0510,11.0045,40.088,39.325,,,,,,,,,
2010-04-30,,,,,,,,,,,,,,5.19422,5.15960,98.0000,97.7055,7.40180,11.1785,11.1620,42.221,41.810,,,,,,,,,
2010-03-31,,,,,,,,,,,,,,5.23903,5.22040,98.9435,98.5394,7.42150,11.2004,11.1930,43.238,42.875,5.30871,5.22040,100.4402,98.5394,7.42150,11.2382,11.1930,44.164,42.875
2010-02-28,,,,,,,,,,,,,,5.26830,5.23730,99.7747,98.9894,7.44990,11.2187,11.2003,43.901,43.510,,,,,,,,,
2010-01-31,,,,,,,,,,,,,,5.42927,5.34000,102.8268,101.2381,7.63354,11.3013,11.2635,45.493,44.660,,,,,,,,,
