Code,Currency,Collection,Period\Unit
EXR.D.ARS.EUR.SP00.A,Argentine peso,Average of observations through period (A),[Argentine peso ]
EXR.D.DZD.EUR.SP00.A,Algerian dinar,Average of observations through period (A),[Algerian dinar ]
EXR.D.MAD.EUR.SP00.A,Moroccan dirham,Average of observations through period (A),[Moroccan dirham ]
EXR.D.TWD.EUR.SP00.A,New Taiwan dollar,Average of observations through period (A),[New Taiwan dollar ]
