Code,Currency,Collection,Period\Unit
EXR.D.AUD.EUR.SP00.A,Australian dollar,Average of observations through period (A),[Australian dollar ]
EXR.D.BGN.EUR.SP00.A,Bulgarian lev,Average of observations through period (A),[Bulgarian lev ]
EXR.D.BRL.EUR.SP00.A,Brazilian real,Average of observations through period (A),[Brazilian real ]
EXR.D.CAD.EUR.SP00.A,Canadian dollar,Average of observations through period (A),[Canadian dollar ]
EXR.D.CHF.EUR.SP00.A,Swiss franc,Average of observations through period (A),[Swiss franc ]
EXR.D.CNY.EUR.SP00.A,Chinese yuan renminbi,Average of observations through period (A),[Chinese yuan renminbi ]
EXR.D.CYP.EUR.SP00.A,Cyprus pound,Average of observations through period (A),[Cypriot pound ]
EXR.D.CZK.EUR.SP00.A,Czech koruna,Average of observations through period (A),[Czech koruna ]
EXR.D.DKK.EUR.SP00.A,Danish krone,Average of observations through period (A),[Danish krone ]
EXR.D.EEK.EUR.SP00.A,Estonian kroon,Average of observations through period (A),[Estonian kroon ]
EXR.D.GBP.EUR.SP00.A,UK pound sterling,Average of observations through period (A),[UK pound sterling ]
EXR.D.GRD.EUR.SP00.A,Greek drachma,Average of observations through period (A),[Greek drachma ]
EXR.D.HKD.EUR.SP00.A,Hong Kong dollar,Average of observations through period (A),[Hong Kong dollar ]
EXR.D.HRK.EUR.SP00.A,Croatian kuna,Average of observations through period (A),[Croatian kuna ]
EXR.D.HUF.EUR.SP00.A,Hungarian forint,Average of observations through period (A),[Hungarian forint ]
EXR.D.IDR.EUR.SP00.A,Indonesian rupiah,Average of observations through period (A),[Indonesian rupiah ]
EXR.D.ILS.EUR.SP00.A,Israeli shekel,Average of observations through period (A),[Israeli shekel ]
EXR.D.INR.EUR.SP00.A,Indian rupee,Average of observations through period (A),[Indian rupee ]
EXR.D.ISK.EUR.SP00.A,Iceland krona,Average of observations through period (A),[Iceland krona ]
EXR.D.JPY.EUR.SP00.A,Japanese yen,Average of observations through period (A),[Japanese yen ]
EXR.D.KRW.EUR.SP00.A,Korean won (Republic),Average of observations through period (A),[Korean won ]
EXR.D.LTL.EUR.SP00.A,Lithuanian litas,Average of observations through period (A),[Lithuanian litas ]
EXR.D.LVL.EUR.SP00.A,Latvian lats,Average of observations through period (A),[Latvian lats ]
EXR.D.MTL.EUR.SP00.A,Maltese lira,Average of observations through period (A),[Maltese lira ]
EXR.D.MXN.EUR.SP00.A,Mexican peso,Average of observations through period (A),[Mexican peso ]
EXR.D.MYR.EUR.SP00.A,Malaysian ringgit,Average of observations through period (A),[Malaysian ringgit ]
EXR.D.NOK.EUR.SP00.A,Norwegian krone,Average of observations through period (A),[Norwegian krone ]
EXR.D.NZD.EUR.SP00.A,New Zealand dollar,Average of observations through period (A),[New Zealand dollar ]
EXR.D.PHP.EUR.SP00.A,Philippine peso,Average of observations through period (A),[Philippine peso ]
EXR.D.PLN.EUR.SP00.A,Polish zloty,Average of observations through period (A),[Polish zloty ]
EXR.D.RON.EUR.SP00.A,Romanian leu,Average of observations through period (A),[Romanian leu ]
EXR.D.RUB.EUR.SP00.A,Russian rouble,Average of observations through period (A),[Russian rouble ]
EXR.D.SEK.EUR.SP00.A,Swedish krona,Average of observations through period (A),[Swedish krona ]
EXR.D.SGD.EUR.SP00.A,Singapore dollar,Average of observations through period (A),[Singapore dollar ]
EXR.D.SIT.EUR.SP00.A,Slovenian tolar,Average of observations through period (A),[Slovenian tolar ]
EXR.D.SKK.EUR.SP00.A,Slovak koruna,Average of observations through period (A),[Slovak koruna ]
EXR.D.THB.EUR.SP00.A,Thai baht,Average of observations through period (A),[Thai baht ]
EXR.D.TRY.EUR.SP00.A,Turkish lira,Average of observations through period (A),[Turkish lira ]
EXR.D.USD.EUR.SP00.A,US dollar,Average of observations through period (A),[US dollar ]
EXR.D.ZAR.EUR.SP00.A,South African rand,Average of observations through period (A),[South African rand ]
