Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=9691296
,EXR.A.AUD.EUR.SP00.A,EXR.A.AUD.EUR.SP00.E,EXR.A.BGN.EUR.SP00.A,EXR.A.BGN.EUR.SP00.E,EXR.A.BRL.EUR.SP00.A,EXR.A.BRL.EUR.SP00.E,EXR.A.CAD.EUR.SP00.A,EXR.A.CAD.EUR.SP00.E,EXR.A.CHF.EUR.SP00.A,EXR.A.CHF.EUR.SP00.E,EXR.A.CNY.EUR.SP00.A,EXR.A.CNY.EUR.SP00.E,EXR.A.CZK.EUR.SP00.A,EXR.A.CZK.EUR.SP00.E,EXR.A.DKK.EUR.SP00.A,EXR.A.DKK.EUR.SP00.E,EXR.A.GBP.EUR.SP00.A,EXR.A.GBP.EUR.SP00.E,EXR.A.HKD.EUR.SP00.A,EXR.A.HKD.EUR.SP00.E,EXR.A.HRK.EUR.SP00.A,EXR.A.HRK.EUR.SP00.E,EXR.A.HUF.EUR.SP00.A,EXR.A.HUF.EUR.SP00.E,EXR.A.IDR.EUR.SP00.A,EXR.A.IDR.EUR.SP00.E,EXR.A.ILS.EUR.SP00.A,EXR.A.ILS.EUR.SP00.E,EXR.A.INR.EUR.SP00.A,EXR.A.INR.EUR.SP00.E,EXR.A.ISK.EUR.SP00.A,EXR.A.JPY.EUR.SP00.A,EXR.A.JPY.EUR.SP00.E,EXR.A.KRW.EUR.SP00.A,EXR.A.KRW.EUR.SP00.E,EXR.A.MXN.EUR.SP00.A,EXR.A.MXN.EUR.SP00.E,EXR.A.MYR.EUR.SP00.A,EXR.A.MYR.EUR.SP00.E,EXR.A.NOK.EUR.SP00.A,EXR.A.NOK.EUR.SP00.E,EXR.A.NZD.EUR.SP00.A,EXR.A.NZD.EUR.SP00.E,EXR.A.PHP.EUR.SP00.A,EXR.A.PHP.EUR.SP00.E,EXR.A.PLN.EUR.SP00.A,EXR.A.PLN.EUR.SP00.E,EXR.A.RON.EUR.SP00.A,EXR.A.RON.EUR.SP00.E,EXR.A.RUB.EUR.SP00.A,EXR.A.RUB.EUR.SP00.E,EXR.A.SEK.EUR.SP00.A,EXR.A.SEK.EUR.SP00.E,EXR.A.SGD.EUR.SP00.A,EXR.A.SGD.EUR.SP00.E,EXR.A.THB.EUR.SP00.A,EXR.A.THB.EUR.SP00.E,EXR.A.TRY.EUR.SP00.A,EXR.A.TRY.EUR.SP00.E,EXR.A.USD.EUR.SP00.A,EXR.A.USD.EUR.SP00.E,EXR.A.ZAR.EUR.SP00.A,EXR.A.ZAR.EUR.SP00.E,EXR.H.AUD.EUR.SP00.A,EXR.H.BGN.EUR.SP00.A,EXR.H.BRL.EUR.SP00.A,EXR.H.CAD.EUR.SP00.A,EXR.H.CHF.EUR.SP00.A,EXR.H.CNY.EUR.SP00.A,EXR.H.CZK.EUR.SP00.A,EXR.H.DKK.EUR.SP00.A,EXR.H.GBP.EUR.SP00.A,EXR.H.HKD.EUR.SP00.A,EXR.H.HRK.EUR.SP00.A,EXR.H.HUF.EUR.SP00.A,EXR.H.IDR.EUR.SP00.A,EXR.H.ILS.EUR.SP00.A,EXR.H.INR.EUR.SP00.A,EXR.H.ISK.EUR.SP00.A,EXR.H.JPY.EUR.SP00.A,EXR.H.KRW.EUR.SP00.A,EXR.H.MXN.EUR.SP00.A,EXR.H.MYR.EUR.SP00.A,EXR.H.NOK.EUR.SP00.A,EXR.H.NZD.EUR.SP00.A,EXR.H.PHP.EUR.SP00.A,EXR.H.PLN.EUR.SP00.A,EXR.H.RON.EUR.SP00.A,EXR.H.RUB.EUR.SP00.A,EXR.H.SEK.EUR.SP00.A,EXR.H.SGD.EUR.SP00.A,EXR.H.THB.EUR.SP00.A,EXR.H.TRY.EUR.SP00.A,EXR.H.USD.EUR.SP00.A,EXR.H.ZAR.EUR.SP00.A,EXR.M.AUD.EUR.SP00.A,EXR.M.AUD.EUR.SP00.E,EXR.M.BGN.EUR.SP00.A,EXR.M.BGN.EUR.SP00.E,EXR.M.BRL.EUR.SP00.A,EXR.M.BRL.EUR.SP00.E,EXR.M.CAD.EUR.SP00.A,EXR.M.CAD.EUR.SP00.E,EXR.M.CHF.EUR.SP00.A,EXR.M.CHF.EUR.SP00.E,EXR.M.CNY.EUR.SP00.A,EXR.M.CNY.EUR.SP00.E,EXR.M.CZK.EUR.SP00.A,EXR.M.CZK.EUR.SP00.E,EXR.M.DKK.EUR.SP00.A,EXR.M.DKK.EUR.SP00.E,EXR.M.GBP.EUR.SP00.A,EXR.M.GBP.EUR.SP00.E,EXR.M.HKD.EUR.SP00.A,EXR.M.HKD.EUR.SP00.E,EXR.M.HRK.EUR.SP00.A,EXR.M.HRK.EUR.SP00.E,EXR.M.HUF.EUR.SP00.A,EXR.M.HUF.EUR.SP00.E,EXR.M.IDR.EUR.SP00.A,EXR.M.IDR.EUR.SP00.E,EXR.M.ILS.EUR.SP00.A,EXR.M.ILS.EUR.SP00.E,EXR.M.INR.EUR.SP00.A,EXR.M.INR.EUR.SP00.E,EXR.M.ISK.EUR.SP00.A,EXR.M.JPY.EUR.SP00.A,EXR.M.JPY.EUR.SP00.E,EXR.M.KRW.EUR.SP00.A,EXR.M.KRW.EUR.SP00.E,EXR.M.MXN.EUR.SP00.A,EXR.M.MXN.EUR.SP00.E,EXR.M.MYR.EUR.SP00.A,EXR.M.MYR.EUR.SP00.E,EXR.M.NOK.EUR.SP00.A,EXR.M.NOK.EUR.SP00.E,EXR.M.NZD.EUR.SP00.A,EXR.M.NZD.EUR.SP00.E,EXR.M.PHP.EUR.SP00.A,EXR.M.PHP.EUR.SP00.E,EXR.M.PLN.EUR.SP00.A,EXR.M.PLN.EUR.SP00.E,EXR.M.RON.EUR.SP00.A,EXR.M.RON.EUR.SP00.E,EXR.M.RUB.EUR.SP00.A,EXR.M.RUB.EUR.SP00.E,EXR.M.SEK.EUR.SP00.A,EXR.M.SEK.EUR.SP00.E,EXR.M.SGD.EUR.SP00.A,EXR.M.SGD.EUR.SP00.E,EXR.M.THB.EUR.SP00.A,EXR.M.THB.EUR.SP00.E,EXR.M.TRY.EUR.SP00.A,EXR.M.TRY.EUR.SP00.E,EXR.M.USD.EUR.SP00.A,EXR.M.USD.EUR.SP00.E,EXR.M.ZAR.EUR.SP00.A,EXR.M.ZAR.EUR.SP00.E,EXR.Q.AUD.EUR.SP00.A,EXR.Q.AUD.EUR.SP00.E,EXR.Q.BGN.EUR.SP00.A,EXR.Q.BGN.EUR.SP00.E,EXR.Q.BRL.EUR.SP00.A,EXR.Q.BRL.EUR.SP00.E,EXR.Q.CAD.EUR.SP00.A,EXR.Q.CAD.EUR.SP00.E,EXR.Q.CHF.EUR.SP00.A,EXR.Q.CHF.EUR.SP00.E,EXR.Q.CNY.EUR.SP00.A,EXR.Q.CNY.EUR.SP00.E,EXR.Q.CZK.EUR.SP00.A,EXR.Q.CZK.EUR.SP00.E,EXR.Q.DKK.EUR.SP00.A,EXR.Q.DKK.EUR.SP00.E,EXR.Q.GBP.EUR.SP00.A,EXR.Q.GBP.EUR.SP00.E,EXR.Q.HKD.EUR.SP00.A,EXR.Q.HKD.EUR.SP00.E,EXR.Q.HRK.EUR.SP00.A,EXR.Q.HRK.EUR.SP00.E,EXR.Q.HUF.EUR.SP00.A,EXR.Q.HUF.EUR.SP00.E,EXR.Q.IDR.EUR.SP00.A,EXR.Q.IDR.EUR.SP00.E,EXR.Q.ILS.EUR.SP00.A,EXR.Q.ILS.EUR.SP00.E,EXR.Q.INR.EUR.SP00.A,EXR.Q.INR.EUR.SP00.E,EXR.Q.ISK.EUR.SP00.A,EXR.Q.JPY.EUR.SP00.A,EXR.Q.JPY.EUR.SP00.E,EXR.Q.KRW.EUR.SP00.A,EXR.Q.KRW.EUR.SP00.E,EXR.Q.MXN.EUR.SP00.A,EXR.Q.MXN.EUR.SP00.E,EXR.Q.MYR.EUR.SP00.A,EXR.Q.MYR.EUR.SP00.E,EXR.Q.NOK.EUR.SP00.A,EXR.Q.NOK.EUR.SP00.E,EXR.Q.NZD.EUR.SP00.A,EXR.Q.NZD.EUR.SP00.E,EXR.Q.PHP.EUR.SP00.A,EXR.Q.PHP.EUR.SP00.E,EXR.Q.PLN.EUR.SP00.A,EXR.Q.PLN.EUR.SP00.E,EXR.Q.RON.EUR.SP00.A,EXR.Q.RON.EUR.SP00.E,EXR.Q.RUB.EUR.SP00.A,EXR.Q.RUB.EUR.SP00.E,EXR.Q.SEK.EUR.SP00.A,EXR.Q.SEK.EUR.SP00.E,EXR.Q.SGD.EUR.SP00.A,EXR.Q.SGD.EUR.SP00.E,EXR.Q.THB.EUR.SP00.A,EXR.Q.THB.EUR.SP00.E,EXR.Q.TRY.EUR.SP00.A,EXR.Q.TRY.EUR.SP00.E,EXR.Q.USD.EUR.SP00.A,EXR.Q.USD.EUR.SP00.E,EXR.Q.ZAR.EUR.SP00.A,EXR.Q.ZAR.EUR.SP00.E
,"Annual, Australian dollar, Average","Annual, Australian dollar, End-of-period","Annual, Bulgarian lev, Average","Annual, Bulgarian lev, End-of-period","Annual, Brazilian real, Average","Annual, Brazilian real, End-of-period","Annual, Canadian dollar, Average","Annual, Canadian dollar, End-of-period","Annual, Swiss franc, Average","Annual, Swiss franc, End-of-period","Annual, Chinese yuan renminbi, Average","Annual, Chinese yuan renminbi, End-of-period","Annual, Czech koruna, Average","Annual, Czech koruna, End-of-period","Annual, Danish krone, Average","Annual, Danish krone, End-of-period","Annual, UK pound sterling, Average","Annual, UK pound sterling, End-of-period","Annual, Hong Kong dollar, Average","Annual, Hong Kong dollar, End-of-period","Annual, Croatian kuna, Average","Annual, Croatian kuna, End-of-period","Annual, Hungarian forint, Average","Annual, Hungarian forint, End-of-period","Annual, Indonesian rupiah, Average","Annual, Indonesian rupiah, End-of-period","Annual, Israeli shekel, Average","Annual, Israeli shekel, End-of-period","Annual, Indian rupee, Average","Annual, Indian rupee, End-of-period","Annual, Iceland krona, Average","Annual, Japanese yen, Average","Annual, Japanese yen, End-of-period","Annual, Korean won (Republic), Average","Annual, Korean won (Republic), End-of-period","Annual, Mexican peso, Average","Annual, Mexican peso, End-of-period","Annual, Malaysian ringgit, Average","Annual, Malaysian ringgit, End-of-period","Annual, Norwegian krone, Average","Annual, Norwegian krone, End-of-period","Annual, New Zealand dollar, Average","Annual, New Zealand dollar, End-of-period","Annual, Philippine peso, Average","Annual, Philippine peso, End-of-period","Annual, Polish zloty, Average","Annual, Polish zloty, End-of-period","Annual, Romanian leu, Average","Annual, Romanian leu, End-of-period","Annual, Russian rouble, Average","Annual, Russian rouble, End-of-period","Annual, Swedish krona, Average","Annual, Swedish krona, End-of-period","Annual, Singapore dollar, Average","Annual, Singapore dollar, End-of-period","Annual, Thai baht, Average","Annual, Thai baht, End-of-period","Annual, Turkish lira, Average","Annual, Turkish lira, End-of-period","Annual, US dollar, Average","Annual, US dollar, End-of-period","Annual, South African rand, Average","Annual, South African rand, End-of-period","Half-yearly, Australian dollar, Average","Half-yearly, Bulgarian lev, Average","Half-yearly, Brazilian real, Average","Half-yearly, Canadian dollar, Average","Half-yearly, Swiss franc, Average","Half-yearly, Chinese yuan renminbi, Average","Half-yearly, Czech koruna, Average","Half-yearly, Danish krone, Average","Half-yearly, UK pound sterling, Average","Half-yearly, Hong Kong dollar, Average","Half-yearly, Croatian kuna, Average","Half-yearly, Hungarian forint, Average","Half-yearly, Indonesian rupiah, Average","Half-yearly, Israeli shekel, Average","Half-yearly, Indian rupee, Average","Half-yearly, Iceland krona, Average","Half-yearly, Japanese yen, Average","Half-yearly, Korean won (Republic), Average","Half-yearly, Mexican peso, Average","Half-yearly, Malaysian ringgit, Average","Half-yearly, Norwegian krone, Average","Half-yearly, New Zealand dollar, Average","Half-yearly, Philippine peso, Average","Half-yearly, Polish zloty, Average","Half-yearly, Romanian leu, Average","Half-yearly, Russian rouble, Average","Half-yearly, Swedish krona, Average","Half-yearly, Singapore dollar, Average","Half-yearly, Thai baht, Average","Half-yearly, Turkish lira, Average","Half-yearly, US dollar, Average","Half-yearly, South African rand, Average","Monthly, Australian dollar, Average","Monthly, Australian dollar, End-of-period","Monthly, Bulgarian lev, Average","Monthly, Bulgarian lev, End-of-period","Monthly, Brazilian real, Average","Monthly, Brazilian real, End-of-period","Monthly, Canadian dollar, Average","Monthly, Canadian dollar, End-of-period","Monthly, Swiss franc, Average","Monthly, Swiss franc, End-of-period","Monthly, Chinese yuan renminbi, Average","Monthly, Chinese yuan renminbi, End-of-period","Monthly, Czech koruna, Average","Monthly, Czech koruna, End-of-period","Monthly, Danish krone, Average","Monthly, Danish krone, End-of-period","Monthly, UK pound sterling, Average","Monthly, UK pound sterling, End-of-period","Monthly, Hong Kong dollar, Average","Monthly, Hong Kong dollar, End-of-period","Monthly, Croatian kuna, Average","Monthly, Croatian kuna, End-of-period","Monthly, Hungarian forint, Average","Monthly, Hungarian forint, End-of-period","Monthly, Indonesian rupiah, Average","Monthly, Indonesian rupiah, End-of-period","Monthly, Israeli shekel, Average","Monthly, Israeli shekel, End-of-period","Monthly, Indian rupee, Average","Monthly, Indian rupee, End-of-period","Monthly, Iceland krona, Average","Monthly, Japanese yen, Average","Monthly, Japanese yen, End-of-period","Monthly, Korean won (Republic), Average","Monthly, Korean won (Republic), End-of-period","Monthly, Mexican peso, Average","Monthly, Mexican peso, End-of-period","Monthly, Malaysian ringgit, Average","Monthly, Malaysian ringgit, End-of-period","Monthly, Norwegian krone, Average","Monthly, Norwegian krone, End-of-period","Monthly, New Zealand dollar, Average","Monthly, New Zealand dollar, End-of-period","Monthly, Philippine peso, Average","Monthly, Philippine peso, End-of-period","Monthly, Polish zloty, Average","Monthly, Polish zloty, End-of-period","Monthly, Romanian leu, Average","Monthly, Romanian leu, End-of-period","Monthly, Russian rouble, Average","Monthly, Russian rouble, End-of-period","Monthly, Swedish krona, Average","Monthly, Swedish krona, End-of-period","Monthly, Singapore dollar, Average","Monthly, Singapore dollar, End-of-period","Monthly, Thai baht, Average","Monthly, Thai baht, End-of-period","Monthly, Turkish lira, Average","Monthly, Turkish lira, End-of-period","Monthly, US dollar, Average","Monthly, US dollar, End-of-period","Monthly, South African rand, Average","Monthly, South African rand, End-of-period","Quarterly, Australian dollar, Average","Quarterly, Australian dollar, End-of-period","Quarterly, Bulgarian lev, Average","Quarterly, Bulgarian lev, End-of-period","Quarterly, Brazilian real, Average","Quarterly, Brazilian real, End-of-period","Quarterly, Canadian dollar, Average","Quarterly, Canadian dollar, End-of-period","Quarterly, Swiss franc, Average","Quarterly, Swiss franc, End-of-period","Quarterly, Chinese yuan renminbi, Average","Quarterly, Chinese yuan renminbi, End-of-period","Quarterly, Czech koruna, Average","Quarterly, Czech koruna, End-of-period","Quarterly, Danish krone, Average","Quarterly, Danish krone, End-of-period","Quarterly, UK pound sterling, Average","Quarterly, UK pound sterling, End-of-period","Quarterly, Hong Kong dollar, Average","Quarterly, Hong Kong dollar, End-of-period","Quarterly, Croatian kuna, Average","Quarterly, Croatian kuna, End-of-period","Quarterly, Hungarian forint, Average","Quarterly, Hungarian forint, End-of-period","Quarterly, Indonesian rupiah, Average","Quarterly, Indonesian rupiah, End-of-period","Quarterly, Israeli shekel, Average","Quarterly, Israeli shekel, End-of-period","Quarterly, Indian rupee, Average","Quarterly, Indian rupee, End-of-period","Quarterly, Iceland krona, Average","Quarterly, Japanese yen, Average","Quarterly, Japanese yen, End-of-period","Quarterly, Korean won (Republic), Average","Quarterly, Korean won (Republic), End-of-period","Quarterly, Mexican peso, Average","Quarterly, Mexican peso, End-of-period","Quarterly, Malaysian ringgit, Average","Quarterly, Malaysian ringgit, End-of-period","Quarterly, Norwegian krone, Average","Quarterly, Norwegian krone, End-of-period","Quarterly, New Zealand dollar, Average","Quarterly, New Zealand dollar, End-of-period","Quarterly, Philippine peso, Average","Quarterly, Philippine peso, End-of-period","Quarterly, Polish zloty, Average","Quarterly, Polish zloty, End-of-period","Quarterly, Romanian leu, Average","Quarterly, Romanian leu, End-of-period","Quarterly, Russian rouble, Average","Quarterly, Russian rouble, End-of-period","Quarterly, Swedish krona, Average","Quarterly, Swedish krona, End-of-period","Quarterly, Singapore dollar, Average","Quarterly, Singapore dollar, End-of-period","Quarterly, Thai baht, Average","Quarterly, Thai baht, End-of-period","Quarterly, Turkish lira, Average","Quarterly, Turkish lira, End-of-period","Quarterly, US dollar, Average","Quarterly, US dollar, End-of-period","Quarterly, South African rand, Average","Quarterly, South African rand, End-of-period"
Collection:,Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E)
Period\Unit:,[Australian dollar ],[Australian dollar ],[Bulgarian lev ],[Bulgarian lev ],[Brazilian real ],[Brazilian real ],[Canadian dollar ],[Canadian dollar ],[Swiss franc ],[Swiss franc ],[Chinese yuan renminbi ],[Chinese yuan renminbi ],[Czech koruna ],[Czech koruna ],[Danish krone ],[Danish krone ],[UK pound sterling ],[UK pound sterling ],[Hong Kong dollar ],[Hong Kong dollar ],[Croatian kuna ],[Croatian kuna ],[Hungarian forint ],[Hungarian forint ],[Indonesian rupiah ],[Indonesian rupiah ],[Israeli shekel ],[Israeli shekel ],[Indian rupee ],[Indian rupee ],[Iceland krona ],[Japanese yen ],[Japanese yen ],[Korean won ],[Korean won ],[Mexican peso ],[Mexican peso ],[Malaysian ringgit ],[Malaysian ringgit ],[Norwegian krone ],[Norwegian krone ],[New Zealand dollar ],[New Zealand dollar ],[Philippine peso ],[Philippine peso ],[Polish zloty ],[Polish zloty ],[Romanian leu ],[Romanian leu ],[Russian rouble ],[Russian rouble ],[Swedish krona ],[Swedish krona ],[Singapore dollar ],[Singapore dollar ],[Thai baht ],[Thai baht ],[Turkish lira ],[Turkish lira ],[US dollar ],[US dollar ],[South African rand ],[South African rand ],[Australian dollar ],[Bulgarian lev ],[Brazilian real ],[Canadian dollar ],[Swiss franc ],[Chinese yuan renminbi ],[Czech koruna ],[Danish krone ],[UK pound sterling ],[Hong Kong dollar ],[Croatian kuna ],[Hungarian forint ],[Indonesian rupiah ],[Israeli shekel ],[Indian rupee ],[Iceland krona ],[Japanese yen ],[Korean won ],[Mexican peso ],[Malaysian ringgit ],[Norwegian krone ],[New Zealand dollar ],[Philippine peso ],[Polish zloty ],[Romanian leu ],[Russian rouble ],[Swedish krona ],[Singapore dollar ],[Thai baht ],[Turkish lira ],[US dollar ],[South African rand ],[Australian dollar ],[Australian dollar ],[Bulgarian lev ],[Bulgarian lev ],[Brazilian real ],[Brazilian real ],[Canadian dollar ],[Canadian dollar ],[Swiss franc ],[Swiss franc ],[Chinese yuan renminbi ],[Chinese yuan renminbi ],[Czech koruna ],[Czech koruna ],[Danish krone ],[Danish krone ],[UK pound sterling ],[UK pound sterling ],[Hong Kong dollar ],[Hong Kong dollar ],[Croatian kuna ],[Croatian kuna ],[Hungarian forint ],[Hungarian forint ],[Indonesian rupiah ],[Indonesian rupiah ],[Israeli shekel ],[Israeli shekel ],[Indian rupee ],[Indian rupee ],[Iceland krona ],[Japanese yen ],[Japanese yen ],[Korean won ],[Korean won ],[Mexican peso ],[Mexican peso ],[Malaysian ringgit ],[Malaysian ringgit ],[Norwegian krone ],[Norwegian krone ],[New Zealand dollar ],[New Zealand dollar ],[Philippine peso ],[Philippine peso ],[Polish zloty ],[Polish zloty ],[Romanian leu ],[Romanian leu ],[Russian rouble ],[Russian rouble ],[Swedish krona ],[Swedish krona ],[Singapore dollar ],[Singapore dollar ],[Thai baht ],[Thai baht ],[Turkish lira ],[Turkish lira ],[US dollar ],[US dollar ],[South African rand ],[South African rand ],[Australian dollar ],[Australian dollar ],[Bulgarian lev ],[Bulgarian lev ],[Brazilian real ],[Brazilian real ],[Canadian dollar ],[Canadian dollar ],[Swiss franc ],[Swiss franc ],[Chinese yuan renminbi ],[Chinese yuan renminbi ],[Czech koruna ],[Czech koruna ],[Danish krone ],[Danish krone ],[UK pound sterling ],[UK pound sterling ],[Hong Kong dollar ],[Hong Kong dollar ],[Croatian kuna ],[Croatian kuna ],[Hungarian forint ],[Hungarian forint ],[Indonesian rupiah ],[Indonesian rupiah ],[Israeli shekel ],[Israeli shekel ],[Indian rupee ],[Indian rupee ],[Iceland krona ],[Japanese yen ],[Japanese yen ],[Korean won ],[Korean won ],[Mexican peso ],[Mexican peso ],[Malaysian ringgit ],[Malaysian ringgit ],[Norwegian krone ],[Norwegian krone ],[New Zealand dollar ],[New Zealand dollar ],[Philippine peso ],[Philippine peso ],[Polish zloty ],[Polish zloty ],[Romanian leu ],[Romanian leu ],[Russian rouble ],[Russian rouble ],[Swedish krona ],[Swedish krona ],[Singapore dollar ],[Singapore dollar ],[Thai baht ],[Thai baht ],[Turkish lira ],[Turkish lira ],[US dollar ],[US dollar ],[South African rand ],[South African rand ]
2022-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4550,1.4591,1.9558,1.9558,5.2111,5.1482,1.3078,1.3111,0.9690,0.9796,6.8884,6.8947,24.568,24.550,7.4393,7.4371,0.84499,0.86035,7.9473,7.8488,7.5138,7.5148,402.10,402.80,15024.16,14849.93,3.3408,3.3399,80.5563,79.5465,140.12,136.85,138.72,1337.90,1342.79,20.3909,20.2044,4.5233,4.4755,9.8309,9.9388,1.6158,1.6322,56.542,56.153,4.7233,4.7283,4.8943,4.8595,,,10.5021,10.6788,1.4016,1.3969,36.3063,36.4500,18.2701,18.1849,1.0128,1.0000,16.9182,17.0667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4856,1.4646,1.9558,1.9558,5.4718,5.2739,1.3180,1.3100,0.9876,0.9744,6.8538,6.8705,24.594,24.610,7.4426,7.4438,0.84955,0.83990,7.9895,8.0054,7.5185,7.5180,404.10,404.80,15258.22,15155.56,3.5309,3.4714,81.0182,80.8820,139.05,139.17,136.42,1332.00,1329.40,20.8955,20.6745,4.5197,4.5386,10.1823,9.8773,1.6436,1.6283,56.917,56.375,4.7682,4.7375,4.9396,4.9343,,,10.5752,10.3875,1.4211,1.4088,37.0284,36.9780,17.7896,18.2472,1.0179,1.0198,17.1606,16.8627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
